"","analyzer_version","artist_7digitalid","artist_familiarity","artist_hotttnesss","artist_id","artist_latitude","artist_location","artist_longitude","artist_mbid","artist_name","artist_playmeid","genre","idx_artist_terms","idx_similar_artists","release","release_7digitalid","song_hotttnesss","song_id","title","track_7digitalid"
"11","''",60488,0.360031166464,0.296268954311,"'ARGSJW91187B9B1D6B'",35.21962,"'North Carolina'",-80.01955,"'eb722df4-372e-4742-8586-f7ff658012d6'","'JennyAnyKind'",-1,"''",0,0,"'I Need You'",539081,0,"'SOQHXMF12AB0182363'","'Young Boy Blues'",5967937
"12","''",4923,0.545159295601,0.351555861186,"'ARC43071187B990240'",NA,"'Wisner, LA'",NA,"'001a1d90-56dc-4992-bd7d-970ecd7105d0'","'Wayne Watson'",17334,"''",0,0,"'The Way Home'",163874,0.265861049211,"'SOKEJEJ12A8C13E0D0'","'The Urgency (LP Version)'",1735859
"13","''",88523,0.577508974325,0.37948217028,"'ARL7K851187B99ACD2'",NA,"''",NA,"'572d6bb7-58cc-4a96-8e5c-58eae4739190'","'Andy Andy'",14303,"''",0,0,"'Placer & Castigo'",575792,0,"'SOMUYGI12AB0188633'","'La Culpa'",6381162
"14","''",327171,0.0855120471086,0.251936524762,"'ARHHO3O1187B989413'",NA,"''",NA,"'e870caaf-3650-4ed8-9ca1-1ac36419abb0'","'Bob Azzam'",-1,"''",0,0,"'Arrivederci'",815863,0,"'SORAMLE12AB017C8B0'","'Auguri Cha Cha'",9014963
"15","''",237,0.776675855685,0.553071991462,"'ARIK43K1187B9AE54C'",NA,"'Beverly Hills, CA'",NA,"'3cb25fb2-5547-4b05-adec-1a5e37830d46'","'Lionel Richie'",-1,"''",0,0,"'Dancing On The Ceiling'",25811,NA,"'SOBONFF12A6D4F84D8'","'Tonight Will Be Alright'",276438
"16","''",3950,0.63642364495,0.44793548048,"'ARD842G1187B997376'",43.64856,"'Toronto, Ontario, Canada'",-79.38533,"'6b52e1be-f27a-433c-b51a-3f2d63abc2ba'","'Blue Rodeo'",-1,"''",0,0,"'Outskirts'",135122,0.405115721691,"'SOHUOAP12A8AE488E9'","'Floating'",1399936
"17","''",24687,0.419943148435,0.330806356856,"'ARIG6O41187B988BDD'",37.16793,"'United States'",-95.84502,"'9f6413ef-4320-4833-87be-3ad1d3bf238f'","'Richard Souther'",18135,"''",0,0,"'Cross Currents'",149958,0.334706549069,"'SOUQQEA12A8C134B1B'","'High Tide'",1560940
"18","''",248913,0.36328057111,0.306676093479,"'AR1ZHYZ1187FB3C717'",NA,"''",NA,"'762e2728-f093-4548-8f36-f4580d83e207'","'Faiz Ali Faiz'",-1,"''",0,0,"'Panjtan Ka Ghulam'",535188,NA,"'SOILPQQ12AB017E82A'","'Sohna Nee Sohna Data'",5916675
"19","''",1396,0.707199763838,0.513463289702,"'ARYKCQI1187FB3B18F'",NA,"''",NA,"'eeacb319-8d4c-48e0-80a0-944e71c375bf'","'Tesla'",7536,"''",0,0,"'Gold'",372309,0.684136191229,"'SOXLBJT12A8C140925'","'Caught In A Dream'",4143071
"20","''",399889,0.320314370171,0,"'ARNPAGP1241B9C7FD4'",NA,"''",NA,"''","'lextrical'",-1,"''",0,0,"'Whatever Happened To Boredom?'",541101,0,"'SOZVMJI12AB01808AF'","'Synthetic Dream'",5991843
"21","''",34818,0.394138539846,0.291539727089,"'ARQGYP71187FB44566'",34.31109,"'Mineola, AR'",-94.02978,"'0b8f67b3-b1d8-4d7a-8317-9d2e7e1cb277'","'Jimmy Wakely'",156926,"''",0,0,"'1942-1952 Jimmy Wakely'",605134,NA,"'SOWTBJW12AC468AC6E'","'Broken-Down Merry-Go-Round'",6721979
"22","''",185559,0.489816268982,0.328553015018,"'ARI3BMM1187FB4255E'",38.8991,"'Washington'",-77.029,"'c5bca5a8-1357-4f4c-8544-b36c814ff6d6'","'Alice Stuart'",-1,"''",0,0,"'All The Good Times'",239740,0,"'SOBEBDG12A58A76D60'","'Kassie Jones'",3006504
"23","''",69720,0.677420465226,0.37825468551,"'AR5KOSW1187FB35FF4'",49.80388,"'Dubai UAE'",15.47491,"'d3cc4c24-1b5b-4d71-bcc9-1940e0e3e9d3'","'Elena'",34776,"''",0,0,"'Un cafe_ setanta matins'",386995,0.313562114248,"'SOZCTXZ12AB0182364'","'Setanta matins'",4292004
"24","''",82239,0.839962768151,0.541888972034,"'ARMAC4T1187FB3FA4C'",40.82624,"'Morris Plains, NJ'",-74.47995,"'1bc41dff-5397-4c53-bb50-469d2c277197'","'The Dillinger Escape Plan'",11414,"''",0,0,"'Miss Machine'",223365,0.66652784623,"'SOBBUGU12A8C13E95D'","'Setting Fire to Sleeping Giants'",2439720
"25","''",36525,0.435415818155,0.306242264246,"'AR47JEX1187B995D81'",37.83721,"'Nevada, MO'",-94.35868,"'7994b392-4b14-4b06-b591-fd8b0ad65338'","'SUE THOMPSON'",-1,"''",0,0,"'Sue Thompson - Her Very Best'",652784,0.495293621292,"'SOBLGCN12AB0183212'","'James (Hold The Ladder Steady)'",7232396
"26","''",14773,0.609063700031,0.363651365059,"'ARGIWFO1187B9B55B7'",NA,"''",NA,"'34f4bdc2-ed51-44da-af51-7e507d9d4721'","'Five Bolt Main'",-1,"''",0,0,"'Live'",45730,0.3759843015,"'SOPSWQW12A6D4F8781'","'Made Like This (Live)'",488005
"27","''",242273,0.550513697848,0.422705641029,"'ARNTLGG11E2835DDB9'",NA,"''",NA,"'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec'","'Clp'",-1,"''",0,0,"'Strictly Confidential'",672016,NA,"'SOZQDIU12A58A7BCF6'","'Superconfidential'",7448953
"28","''",14504,0.459797128838,0.349912611675,"'ARDNS031187B9924F0'",32.67828,"'Georgia'",-83.22295,"'e29641cc-3658-4886-89d7-3a146d2d3d75'","'Tim Wilson'",7570,"''",0,0,"'The Real Twang Thang'",160881,NA,"'SONYPOM12A8C13B2D7'","'I Think My Wife Is Running Around On Me (Taco Hell)'",1699837
"29","''",15815,0.588827100502,0.37967112475,"'AROUOZZ1187B9ABE51'",40.79195,"'New York, NY [Spanish Harlem]'",-73.94512,"'dadec058-023e-498a-b1c7-776d03cc88ce'","'Willie Bobo'",-1,"''",0,0,"""WillieBobo'sFinestHour""",59744,NA,"'SOBZBAZ12A6D4F8742'","'Spanish Grease'",618725
"30","''",28882,0.396455253917,0.299230367929,"'ARH4Z031187B9A71F2'",40.73197,"'Newark, NJ'",-74.17418,"'8f2974e0-3647-48f6-86f8-603a2c5f31ae'","'Faye Adams'",70806,"''",0,0,"'Shake A Hand'",373723,0,"'SOVYKGO12AB0187199'","'Crazy Mixed Up World'",5660441
"31","''",9947,0.706827671304,0.416173064627,"'ARB29H41187B98F0EF'",41.88415,"'Chicago'",-87.63241,"'44fd61e1-119c-479e-8301-8ac5c77148bf'","'Terry Callier'",43725,"''",0,0,"'Occasional Rain'",228326,0.41373983586,"'SOGNCJP12A58A80271'","'Do You Finally Need A Friend'",2503960
"32","''",343187,0.560557983904,0.452789476752,"'AR1Y2PT1187FB5B9CE'",27.94017,"'Brandon'",-82.32547,"'84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab'","'John Wesley'",-1,"''",0,0,"'The Emperor Falls'",463514,0.377531644977,"'SOLLHMX12AB01846DC'","'The Emperor Falls'",5158927
"33","''",14045,0.640807101964,0.418216518195,"'ARAJPHH1187FB5566A'",40.7038,"'Queens, NY'",-73.83168,"'91d01e5f-252d-469d-a16a-12c613e48e5d'","'The Shangri-Las'",2995,"''",0,0,"'Best of The Shangri-Las'",643400,0.443291311905,"'SOYTPEP12AB0180E7B'","'Twist and Shout'",7133415
"34","''",16838,0.52371463697,0.384611083962,"'AR0RCMP1187FB3F427'",30.08615,"'Beaumont, TX'",-94.10158,"'615d51ca-3d06-43dc-b956-4d76099f4b5e'","'Billie Jo Spears'",56462,"''",0,0,"'20 Of Her Best'",663761,0,"'SOGXHEG12AB018653E'","'It Makes No Difference Now'",7357260
"35","''",9222,0.793605080371,0.426317956408,"'AREBBGV1187FB523D2'",NA,"'Houston, TX'",NA,"'7685015d-bd3b-4888-9020-3288c421cc9f'","""MikeJones(FeaturingCJ_Mello&Lil'Bran)""",2567,"''",0,0,"'Who Is Mike Jones?'",12882,NA,"'SOOLYAZ12A6701F4A6'","'Laws Patrolling (Album Version)'",133966
"36","''",107468,0.501544777104,0.392733675547,"'ARGUVEV1187B98BA17'",NA,"''",NA,"'017f5df4-c30c-4799-95f7-997bd5b88df7'","'Sierra Maestra'",185183,"''",0,0,"'Tibiri Tabara'",270281,NA,"'SOGOSOV12AF72A285E'","'¿Dónde va Chichi?'",3003122
"37","''",16860,0.809323793002,0.488019841686,"'ARPQ4Z01187FB3A736'",29.42449,"'San Antonio, TX'",-98.49462,"'2339bc21-aa92-4850-86f0-4bb9433910c8'","'Butthole Surfers'",110955,"''",0,0,"'Piouhgd + Widowermaker!'",244586,0.593943075902,"'SOJXVAH12A8C139700'","'Barking Dogs (From ""Piouhgd"")'",2788206
"38","''",45784,0.632559542285,0.411688959786,"'ARNQAVF11F4C844C04'",NA,"''",NA,"''","'Despina Vandi'",447,"''",0,0,"'Profities'",157648,NA,"'SOVXMTN12A8C135A18'","'OUTE ENA EFHARISTO'",1658618
"39","''",34461,0.597541217972,0.38265197114,"'ARXUT4W1187FB48BEB'",NA,"''",NA,"'e927aaaa-323e-4f90-952d-b420212191b2'","'Javier Navarrete'",-1,"''",0,0,"'Cracks'",644631,0.394394856101,"'SORSECL12AB0182267'","'Midnight Swim'",7143933
"40","''",125706,0.49544592177,0.294861261887,"'ARDD1RC1187B9B52B4'",NA,"''",NA,"'5665cefe-8f12-4328-b66b-2f62644be484'","'Jacob Young'",-1,"''",0,0,"'Pieces Of Time'",730551,0,"'SOOGFBZ12AC3DF7FF2'","'In A Subtle Way'",8093189
"41","''",527722,0.527865076159,0.393121933571,"'ARLGWFM1187FB4AC9F'",34.05349,"'California - LA'",-118.24532,"'575122b0-bdba-442d-891c-8a8b2999aa98'","""Scarlet'sRemains""",-1,"''",0,0,"'The Palest Grey'",709879,0.450992311636,"'SOMSBGZ12AB018C4CB'","'Spin'",7872290
"42","''",240277,0.668674532861,0.46753844401,"'ARWYVP51187B98C516'",42.33168,"'Detroit, MI'",-83.04792,"'c6d2cbdf-30e7-4233-a1b4-e892f116ada1'","'The Suicide Machines'",-1,"''",0,0,"'A Match & Some Gasoline'",706005,0.528782480943,"'SONYRZV12AB018AF70'","'Burning In The Aftermath'",7830058
"43","''",522,0.814829656133,0.735765692951,"'ARFCUN31187B9AD578'",51.50632,"'London, England'",-0.12714,"'b071f9fa-14b0-4217-8e97-eb41da73f598'","'The Rolling Stones'",10490,"''",0,0,"""JumpBack-TheBestOfTheRollingStones_'71-'93""",42595,0.834492619891,"'SONQBUB12A6D4F8ED0'","'Angie (1993 Digital Remaster)'",453879
"44","''",176139,0.482356042591,0.350078578989,"'AR6YDKV1187B989230'",NA,"''",NA,"'a3bbee3c-ef45-43e7-bf4f-ba0f871ea716'","'Roberto Torres'",-1,"''",0,0,"'Lo Mejor con La Orq. Broadway'",782470,0,"'SOHGKJW12AC468A8BD'","'Sabor Guajiro'",8653966
"45","''",16308,0.661080167604,0.442765842029,"'ARV1JVD1187B9AD195'",35.91463,"'Chapel Hill, NC'",-79.05661,"'3ddc1fe4-0abb-4af0-9392-e36720386842'","'Loudon Wainwright III'",14418,"''",0,0,"'Grown Man'",28723,0.510119314033,"'SOINBCU12A6D4F94C0'","'Human Cannonball'",315300
"46","''",6186,0.701180873608,0.466628888902,"'AR7TTS41187B9B42D3'",34.36401,"'Oxford, MS'",-89.51877,"'355eed00-6c40-4d33-940a-600b2597407a'","'R.L. Burnside'",26588,"''",0,0,"'A Bothered Mind'",557761,0.482137585065,"'SOTWVQT12A58A79650'","'Glory Be'",6169318
"47","''",48814,0.733798940436,0.544257505725,"'ART3O5Z1187B9AB043'",32.77815,"'Dallas, TX'",-96.7954,"'f5426431-f490-4678-ad44-a75c71097bb4'","'Stevie Ray Vaughan'",9729,"''",0,0,"'Greatest Hits'",417945,NA,"'SOTSEJY12AB0180F56'","'Crossfire'",4659073
"48","''",39546,0.590692917947,0.452817837697,"'AR5U94U1187FB5CDCF'",NA,"''",NA,"'d83e599c-2d5a-44ec-b727-587e1455b1b5'","'John Hammond'",7350,"''",0,0,"'Bluesman'",575531,NA,"'SOTSETT12AB01863B8'","""ICan'tBeSatisfied""",6378564
"49","''",48409,0.665322161906,0.394217198901,"'ARRJNTE1187FB44E12'",NA,"''",NA,"'73d882c7-1146-4012-a61b-a3b2c11fce2f'","'Casiotone For The Painfully Alone'",-1,"''",0,0,"'Etiquette'",234425,0.785892288388,"'SOTUNMH12A6D4FA3E6'","'Nashville Parthenon'",2573759
"50","''",7171,0.50407566993,0.334577360119,"'AR6IRG41187B9A4D98'",52.51607,"'Berlin, Germany'",13.37698,"'168e3ccd-91f5-480c-970a-b35171c71164'","'Ec8or'",-1,"''",0,0,"'Ec8or'",505301,NA,"'SOEPPKB12AB018418B'","'Cocain Ducks'",5591305
"51","''",24313,0.717670524729,0.479308459338,"'ARS1OWB1187B99EEAD'",NA,"'New York, NY'",NA,"'1b96b9c9-0832-40cb-9f8d-7274de3733fc'","'The New York Dolls'",5379,"''",0,0,"'Too Much Too Soon'",74655,0.561692411179,"'SOGKIWV12A6D4F86C4'","'Human Being'",770031
"52","''",2800,0.669726187566,0.427914246983,"'ARGMXQW1187FB54C34'",-23.56287,"'Sao Paulo, Brazil'",-46.65466,"'9974cbc1-6a00-4a97-8a36-e4a25bfe0293'","'Eliane Elias'",14229,"''",0,0,"'Bossa Nova Stories'",322532,0.434838090261,"'SOPHYIS12AAF3B35A3'","'The More I See You'",3635000
"53","''",10275,0.569741152282,0.412240600536,"'AROEL1B1187B988B90'",NA,"'South Jamaica, Queens'",NA,"'8b70d4d9-b3d3-4a99-8a95-96ee59f12140'","'Lost Boyz'",-1,"''",0,0,"'Love_ Peace & Nappiness'",14592,0.405115721691,"'SOFHBAR12A6701D0FE'","'Certain Things We Do'",151792
"54","''",104787,0.640048357157,0.404392640155,"'AR8W8DN1187FB35ED0'",34.05349,"'Los Angeles, CA'",-118.24532,"'42c4b58d-2e28-41d4-bfe5-4edee68386cf'","'The Germs'",-1,"''",0,0,"'Germicide'",515081,NA,"'SOCPRKM12AB018A2FD'","'Forming'",5714272
"55","''",264183,0.397772875788,0.383475744907,"'ARUWLCL1187FB549B8'",NA,"''",NA,"'b0288f97-71d3-4fa2-8379-e482c4d97e95'","'Yamandu Costa'",147394,"''",0,0,"'Mafuá'",765750,NA,"'SOFGHAM12AB0186412'","'Mafuá'",8478956
"56","''",4010,0.643182772912,0.500691340913,"'AR3793X1187FB50CB3'",NA,"'Middlesbrough, England'",NA,"'c707b37e-cb5c-4694-be4d-46beefcb2475'","'Chris Rea'",-1,"''",0,0,"'The Road To Hell Part 2'",17220,0.767727748373,"'SODHVES12A6701CE6B'","'Driving Home For Christmas'",183976
"57","''",364953,0.411421048262,0.338414818483,"'ARINEWW1187FB5577E'",NA,"''",NA,"'2f3532b3-febc-4ab2-8f97-fbeebbaa1fe7'","'Perrey And Kingsley'",-1,"''",0,0,"'Vanguard Visionaries'",617077,0.434838090261,"'SOXIATP12AAF3B2184'","'Spooks In Space'",6856216
"58","''",3041,0.751007620037,0.523699077765,"'ARDGB6U1187FB3AD07'",51.50632,"'London, England'",-0.12714,"'b4d32cff-f19e-455f-86c4-f347d824ca61'","'Eurythmics'",576,"''",0,0,"'Be Yourself Tonight'",278999,0.382935090075,"'SOGNQWU12A8AE4868F'","'Tous Les Garçons Et Les Filles'",3107981
"59","''",13801,0.548585130198,0.383524247328,"'AR2J2WF1187FB46271'",54.48303,"'Egremont, Cumbria, England'",-3.53444,"'211256ad-1a39-4bb9-a216-24a2d985343e'","'Francis Dunnery'",42151,"''",0,0,"'Hometown 2001'",19601,0.610474257772,"'SOYQOFI12A6D4F76E1'","'Too Much Saturn'",205540
"60","''",10249,0.749317800961,0.481655862412,"'ARUI8651187B9ACF52'",NA,"'Garnant, Wales'",NA,"'72c090b6-a68e-4cb9-b330-85278681a714'","'John Cale'",17190,"''",0,0,"'Eat / Kiss: Music For The Films By Andy Warhol'",38599,0.226555313956,"'SOVOLGY12A6D4F822B'","'Movement 4 [from Kiss] (Album Version)'",413033
"61","''",1647,0.631946665998,0.380704535824,"'AR89DTT1187B9A7ED5'",37.77916,"'California - SF'",-122.42005,"'2ce96399-f6da-439f-af3a-f319ebe2074c'","'Suzanne Ciani'",22282,"''",0,0,"'The Ultimate Most Relaxing New Age Piano in the Universe'",619882,0.415983118288,"'SOMZCVH12AB0182B8E'","'Stream'",6885148
"62","''",142898,0.65393782097,0.396855869325,"'ARMD0G81187B99A519'",NA,"''",NA,"'378125ec-fd93-4920-87f0-0ab145c2db88'","'Vickie Winans'",8019,"''",0,0,"'Classic Gold: Best of All'",618615,NA,"'SONXJBL12AAF3B2C0C'","'Make Me Over'",6871078
"63","''",373578,0.668370611552,0.457553909836,"'AR0VZWC1187B99BA57'",-37.81753,"'Melbourne, Australia'",144.96715,"'c064d097-4a1e-4e81-bd6f-22ba86ee2904'","'The Berzerker'",160708,"''",0,0,"'The Berzerker'",681639,0,"'SOYWZTU12AB0180E26'","'Deform (live)'",7565003
"64","''",1246,0.845768866449,0.788805935162,"'ARF2EHS1187B994F4E'",36.16778,"'Nashville, Tennessee'",-86.77836,"'6ffb8ea9-2370-44d8-b678-e9237bbd347b'","'Kings Of Leon'",1858,"''",0,0,"'Holy Roller Novocaine'",449471,0.685940226698,"'SOLGHDZ12AB0183B11'","'Wicker Chair'",4989932
"65","''",230806,0.407455643852,0.300046490366,"'ARZKRD01187FB45FD2'",NA,"''",NA,"'ad386f9f-6d5b-4bbe-8bbd-7d5f249b21a7'","'Edith Lefel'",-1,"''",0,0,"'Jeux de dames_ vol. 1 (réalisation Ronald Rubinel)'",321356,0,"'SOTNTNJ12AAA15FBD6'","""Antichans'""",3619557
"66","''",248684,0.460171323666,0.189314877753,"'ARK4H5K1187B992F74'",NA,"''",NA,"'f31212c5-b4a0-436a-b9b3-407fc7392dbe'","'Taras'",-1,"''",0,0,"'I Will Love Again'",530141,NA,"'SOXZXXV12AAF3B3A67'","""IWillLoveAgain(JJ'sClubRadio)""",5857433
"67","''",33328,0.778816716563,0.554291489013,"'AR06EB01187FB40150'",NA,"'Berkeley, CA'",NA,"'dcaa4f81-bfb7-44eb-8594-4e74f004b6e4'","'NOFX'",11040,"''",0,0,"'White Trash ......'",104765,0.671236026985,"'SOPIKEG12A58291636'","'Stickin In My Eye'",1082135
"68","''",516781,0.435889847088,0.268037839631,"'ARKPDBH1242077DEB1'",NA,"''",NA,"''","'Murskahumppa'",-1,"''",0,0,"'Murskapunkkia'",695158,NA,"'SOIRNBO12AC468D207'","'Ota kiinni'",7717117
"69","''",291580,0.711165786578,0.466826992527,"'ARBJSO81187B9BA09B'",NA,"''",NA,"'3f8a5e5b-c24b-4068-9f1c-afad8829e06b'","'Soda Stereo'",2146,"''",0,0,"'Canción Animal'",509770,0.626165759669,"'SOSBDSF12AB0189007'","'Entre Caníbales'",5646037
"70","''",170661,0.443162397598,0.300454459812,"'ARRC2JF1187B9B6A93'",-24.9162,"'AUSTRALIA'",133.39311,"'3ac9f018-b28a-40c8-826d-07dd44d3404f'","'Bruce Rowland'",-1,"''",0,0,"'The Man from Snowy River'",223779,0,"'SOIJXXM12A8C1416D6'","'Rosemary Recalls'",2445709
"71","''",345476,0.400433513458,0.266275285547,"'ARNIFX51187FB418EA'",NA,"''",NA,"'91a75913-4dbf-4496-bed1-7d4206c3ed22'","'Xcultures'",-1,"''",0,0,"'One World One People'",466577,0.199238262001,"'SOHMMMC12AB0181C42'","'Sudanese Dance'",5190145
"72","''",30101,0.477364752484,0.337507289166,"'ARCCRTI11F4C845308'",NA,"''",NA,"''","'White Heart'",86428,"''",0,0,"'Tales Of Wonder'",148547,0.265861049211,"'SOVJXVJ12A8C13517D'","'Where The Thunder Roars (Tales Of Wonder Album Version)'",1548122
"73","''",257069,0.617870116344,0.363668110245,"'ARNVH8S1187FB52F86'",18.11526,"'Jamaica, West Indies'",-77.27348,"'41c0869f-dfe6-46cc-aa35-cbe9f29638cf'","'Heavy D / McGruff'",-1,"''",0,0,"'Waterbed Hev'",423012,0.237733941622,"'SOFZCTA12AB0188D8F'","'Wanna Be A Player'",4717505
"74","''",4741,0.744641245933,0.579988982429,"'ARNLO5S1187B9B80CC'",NA,"'Pasadena, CA'",NA,"'b665b768-0d83-4363-950c-31ed39317c15'","'Van Halen'",54598,"''",0,0,"'The Best Of Both Worlds'",7133,0.824482129682,"'SOLRYQR12A670215BF'","'Panama (Remastered Album Version)'",72173
"75","''",15260,0.84560188664,1.00594196595,"'ARTDQRC1187FB4EFD4'",NA,"'Los Angeles, CA'",NA,"'d5be5333-4171-427e-8e12-732087c6b78e'","'Black Eyed Peas'",21628,"''",0,0,"'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness'",358442,0.624425493271,"'SOCHRXB12A8AE48069'","""Let'sGetItStarted""",3999070
"76","''",7338,0.905776888666,0.598458500982,"'ARK9TRQ1187B99C095'",41.50471,"'Cleveland, OH'",-81.69074,"'b7ffd2af-418f-4be2-bdd1-22f8b48613da'","'Nine Inch Nails'",-1,"''",0,0,"'Things Falling Apart'",15567,0.635536648623,"'SOKBBXO12A6701DEA0'","'Metal'",163543
"77","''",451,0.694021647907,0.479407675575,"'ARODBRG1187FB3FD99'",NA,"''",NA,"'172e1f1a-504d-4488-b053-6344ba63e6d0'","'Nick Cave & The Bad Seeds'",10506,"''",0,0,"'Your Funeral... My Trial (2009 Digital Remaster)'",413222,NA,"'SOWHYUG12A58A77FAB'","'She Fell Away (2009 Digital Remaster)'",4603984
"78","''",65397,0.408389022376,0.139247393871,"'ARMBYRO1187FB57419'",NA,"''",NA,"'d93dabff-3bd6-4f9a-891e-213d4266abf5'","'Nadine Renee'",113161,"''",0,0,"'Oasis of Love'",80578,0.198785348765,"'SOYSTDI12A6D4F6500'","'Next Time'",852705
"79","''",14043,0.606925358532,0.38910077628,"'ARWY7I71187FB36C3D'",40.71455,"'New York, NY'",-74.00712,"'7f565c58-cf5d-441b-821f-c314ddf60c99'","'Lesley Gore'",-1,"''",0,0,"""60'sTripleset""",26902,NA,"'SOOOROX12A6D4F8400'","""It'sMyParty""",292256
"80","''",201255,0.56246378358,0.322485105661,"'AR6Y22S1187B99906F'",NA,"''",NA,"'331cddd9-fb6d-4fa8-957b-d130b282e4c4'","'Smartbomb'",181528,"''",0,0,"'Yeah.  Well_ Anyway....'",633532,0,"'SONSPZE12AB01819CE'","'Complicate It'",7031468
"81","''",324572,0.481004583018,0.335651839185,"'ARI5P4N1187FB3F44D'",NA,"'Minnesota'",NA,"'48e797f1-0473-4445-9696-c9bc197a3404'","'Suburbs'",-1,"''",0,0,"'Un Titre de Toune'",435830,0.249065794854,"'SOHWGFU12AB017B036'","'Monde De Fou'",4855196
"82","''",8614,0.742963152341,0.453391186075,"'ARYPWUK1187B98ACED'",64.55653,"'Norway'",12.66538,"'69161e5a-51dc-473b-8a16-9007dbdbeb93'","'Emperor'",160843,"''",0,0,"'Live Inferno'",495734,NA,"'SOQQVQJ12AB0185192'","'Opus a Satana (Part 2)'",5488523
"83","''",13038,0.58547953975,0.364384924468,"'ARW63KF1187B98AC48'",46.71067,"'FR'",1.71819,"'8b74c6be-1f8d-4893-8526-1be4a3686f7a'","'Julien Clerc'",61961,"''",0,0,"'Vendredi 13 - 1981'",664484,NA,"'SODRHHD12AB0189F2A'","'This Melody (Live)'",7368035
"84","''",15205,0.671596269848,0.481024239212,"'AR8H87D1187FB3A841'",34.03142,"'Delight, AR'",-93.50243,"'57976431-1a5c-4968-a422-b92c5e9b0d4f'","'Glen Campbell'",3137,"''",0,0,"'Unconditional Love'",112851,NA,"'SOQGFVO12A8C13C8C3'","""I'mGoneThisTime""",1164868
"85","''",86039,0.449323615208,0.343281881787,"'ARLWR721187B9A03C9'",35.82213,"'Humboldt, TN'",-88.91599,"'cdfbdee9-1dc0-4766-a3aa-4eef5ba4800e'","'T.G. Sheppard'",111782,"''",0,0,"'The Very Best Of'",200689,0.382723280789,"'SORABMD12A8C136672'","'You Feel Good All Over'",2185175
